coin,danmaku,favorite,id,like,rank_num,reply,share,view,genre
52013,1744,35635,399498147,282186,32,2396,11419,2357472,动物圈
93123,3669,55388,740479447,263859,10,2903,9476,2154370,动画
68212,6537,38313,565740562,320957,31,3479,11479,2934403,原创
4336,2053,17194,919180914,258904,62,1222,163,5079108,国创相关
151030,4495,72847,441306424,382980,16,4250,11365,2241509,影视
148523,4632,227578,622925369,662291,42,8794,45327,4968061,新人
29510,1596,39144,249062686,207806,40,1990,7056,1298382,时尚
283450,18396,23989,867824989,295448,86,8685,14153,2968406,汽车
44692,6881,40087,629510262,211324,14,2656,6889,1782667,游戏
61272,4162,38373,546053987,340922,22,3212,14559,3139846,生活
33086,9571,43135,679356914,335279,26,3761,8325,3240479,知识
212174,8449,359820,468879593,335279,31,4550,32610,4301492,科技
59976,5277,21434,484591277,254361,14,2152,4205,3052755,美食
254526,11472,130158,771129969,638587,49,9826,95204,8646834,舞蹈
21390,3527,86855,782796050,221823,5,2877,3759,6517602,运动
121200,31769,85272,495264157,356712,35,12570,35245,2593078,音乐
75654,2989,96029,579195542,296170,41,2753,44943,3578485,鬼畜
