coin,danmaku,favorite,like,reply,share,view,genre
3248,435,7754,43185,575,2322,762786,动物圈
13801,1008,17896,65287,925,3309,692181,动画
40842,5209,28816,174709,2895,8681,1724147,原创
1967,412,33245,17010,256,417,1055011,国创相关
3260,10520,8156,23127,890,2780,649062,娱乐
9093,881,8757,51178,773,1339,715597,影视
9778,557,58290,49011,641,3061,2320565,新人
2995,341,7701,39335,370,955,494733,时尚
3963,666,2250,12488,561,688,403558,汽车
16763,2370,16610,69445,1691,4378,870821,游戏
18964,2306,15834,133106,1779,7281,1488605,生活
9488,2130,24996,65083,1528,2184,926009,知识
11879,945,22996,31256,931,2124,518492,科技
7078,1443,5972,46289,881,1669,770091,美食
7204,402,8467,41167,504,2764,462130,舞蹈
2462,531,6164,29593,503,948,565224,运动
13315,2901,30005,46419,1571,4203,650903,音乐
8745,559,12660,41773,535,5647,564250,鬼畜
